epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,701.19,0.45828,2.00936,0.39739,0.23488,0.01005,1.97448,0.98226,1,0.99485,0.99134,0.98226,1,0.99485,0.7977,0.24944,0.73334,0.36589,0.14854,0.00788,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,734.447,0.40604,1.89754,0.39731,0.2323,0.00868,1.91978,0.99972,1,0.995,0.99108,0.99972,1,0.995,0.85265,0.19811,0.54929,0.41013,0.08996,0.00562,0,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,767.947,0.41641,1.95806,0.38916,0.22273,0.00905,1.91023,0.99943,1,0.995,0.98416,0.99943,1,0.995,0.89719,0.29163,0.39764,0.39257,0.36873,0.00801,0,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,800.811,0.41399,1.84084,0.38942,0.23265,0.00909,1.93475,0.98036,0.99857,0.99465,0.98461,0.98036,0.99857,0.99465,0.73329,0.30665,0.99494,0.38185,0.17162,0.01134,0,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,833.923,0.40442,1.83298,0.38497,0.23383,0.00862,1.95386,0.98504,0.9877,0.99485,0.89775,0.98504,0.9877,0.99485,0.60615,0.49009,1.30551,0.37108,0.27644,0.01714,0,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,868.016,0.38162,1.75508,0.38685,0.20178,0.008,1.6972,0.98037,0.99894,0.99455,0.99455,0.98037,0.99894,0.99455,0.85218,0.21614,0.60984,0.35282,0.22538,0.00563,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,901.916,0.38026,1.90288,0.38061,0.21379,0.00813,1.74883,0.99971,1,0.995,0.94444,0.99971,1,0.995,0.81229,0.3455,0.65682,0.34649,0.10055,0.01096,0,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,936.1,0.40017,1.59711,0.37925,0.21469,0.00817,1.15474,0.99973,1,0.995,0.99395,0.99973,1,0.995,0.89211,0.22778,0.41426,0.3516,0.07094,0.00818,0,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,969.899,0.36986,1.80988,0.37084,0.19601,0.00778,1.72312,1,1,0.995,0.9518,1,1,0.995,0.63836,0.33685,1.2911,0.35211,0.09824,0.01121,0,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,1003.8,0.39863,1.68414,0.37225,0.18423,0.00826,1.1758,0.99974,1,0.995,0.97786,0.99974,1,0.995,0.89855,0.2347,0.38787,0.34735,0.07363,0.00761,0,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
