node_id,x,y,z
159,-156.657,99.5093,-54.6473
160,-104.743,101.112,-87.5073
161,-96.6255,127.224,-84.2271
162,-181.926,83.083,-100.0
163,-108.128,168.251,-100.0
164,-96.5056,117.081,-91.0036
165,-131.159,87.0401,-69.485
166,-105.475,149.247,-70.6255
167,-125.97,79.2683,-100.0
168,-129.756,79.9828,-83.4205
169,-108.723,124.286,-61.3746
170,-135.216,147.366,-46.9331
171,-103.241,161.732,-89.7911
172,-114.16,164.218,-70.4226
173,-153.281,76.8519,-79.5893
174,-178.75,89.713,-70.124
175,-151.625,109.316,-46.1462
176,-97.5552,108.606,-100.0
177,-161.139,76.7521,-80.1649
178,-115.127,88.1792,-81.9321
179,-111.453,155.417,-63.7274
180,-98.398,127.189,-73.4027
181,-151.09,80.9835,-68.0711
182,-115.677,128.575,-52.4536
183,-168.634,107.529,-48.044
184,-93.8336,144.044,-89.1863
185,-141.021,73.8886,-85.4118
186,-176.553,76.8505,-100.0
187,-141.263,71.9077,-100.0
188,-176.176,94.6682,-59.364
189,-96.8914,141.748,-76.8004
190,-118.95,160.782,-58.9253
191,-101.444,164.801,-100.0
192,-112.795,115.201,-56.29
193,-131.499,104.644,-49.4909
194,-154.134,70.3905,-100.0
195,-91.6096,142.547,-100.0
196,-101.734,138.001,-65.3761
197,-105.105,170.156,-92.8743
198,-106.647,169.193,-83.6611
199,-183.383,79.817,-92.7169
200,-98.8485,108.712,-77.6413
201,-164.391,72.1607,-89.824
202,-133.29,115.437,-43.4819
203,-106.328,99.4449,-72.5269
204,-89.5639,128.997,-100.0
205,-120.833,85.5739,-71.4059
206,-182.804,81.1338,-82.2956
207,-94.7806,156.324,-100.0
208,-164.782,79.0094,-69.4334
209,-140.359,75.8632,-73.2629
210,-134.446,131.509,-40.0833
211,-112.04,82.2542,-91.8921
212,-114.576,147.004,-51.1602
213,-176.581,73.9411,-90.9266
214,-101.516,92.7286,-92.3249
215,-98.0492,116.158,-68.606
216,-130.762,71.1328,-92.8417
217,-122.804,122.226,-43.6818
218,-90.6213,117.297,-84.7528
219,-184.776,76.5367,-100.0
220,-102.054,172.003,-100.0
221,-107.195,136.655,-53.697
222,-170.232,69.7781,-100.0
223,-124.863,93.3176,-55.1277
224,-103.329,109.817,-62.6278
225,-147.233,117.605,-37.1596
226,-149.972,132.319,-35.4759
227,-87.7806,118.688,-100.0
228,-106.625,88.6613,-79.7143
229,-105.86,150.246,-57.9988
230,-146.173,85.4177,-54.2636
231,-113.288,96.6744,-59.8893
232,-103.271,87.0335,-100.0
233,-152.026,96.4387,-44.7133
234,-165.868,71.1523,-78.5973
235,-157.937,122.703,-35.5426
236,-94.5854,98.203,-100.0
237,-136.388,92.3461,-49.3507
238,-126.31,111.581,-42.6267
239,-174.431,80.3293,-65.6505
240,-88.1568,132.396,-81.2748
241,-94.0859,154.398,-77.1827
242,-118.945,74.374,-90.1836
243,-124.328,143.636,-41.1905
244,-141.144,125.374,-35.139
245,-129.548,75.9662,-70.6524
246,-163.922,97.8631,-44.3166
247,-179.664,71.3869,-100.0
248,-141.423,141.419,-35.4559
249,-120.199,102.354,-48.988
250,-90.9461,104.867,-91.0036
251,-111.354,120.066,-48.1005
252,-150.9,65.7057,-87.2668
253,-95.2828,167.326,-100.0
254,-154.301,85.7289,-50.8915
255,-168.509,86.3122,-53.3202
256,-161.872,71.8912,-70.164
257,-112.209,76.3688,-100.0
258,-96.051,126.951,-61.7111
259,-98.9639,173.799,-92.8423
260,-84.3206,124.445,-89.9451
261,-186.115,73.2203,-92.665
262,-133.924,81.7709,-56.4274
263,-180.094,76.0134,-72.2156
264,-96.1035,96.2313,-79.8162
265,-176.03,94.9396,-47.465
266,-165.286,112.608,-35.6555
267,-173.986,69.2284,-81.2308
268,-181.518,69.7945,-95.1069
269,-99.9169,159.059,-64.2328
270,-118.654,74.6307,-77.9502
271,-102.889,129.44,-51.0162
272,-117.806,161.623,-47.9081
273,-93.4531,147.955,-65.9522
274,-83.7478,142.958,-89.4159
275,-157.367,109.553,-34.4026
276,-124.74,130.828,-35.8427
277,-164.328,79.2051,-55.723
278,-130.957,67.4297,-80.4108
279,-113.071,137.763,-42.1958
280,-100.41,117.181,-54.4149
281,-143.92,104.644,-35.8194
282,-89.2506,135.889,-68.1257
283,-132.315,149.975,-35.4777
284,-172.049,64.5739,-91.9655
285,-109.941,81.8387,-71.5939
286,-102.195,171.919,-70.2964
287,-87.4465,123.309,-70.6743
288,-103.626,97.1355,-60.0697
289,-86.6512,158.243,-89.4487
290,-133.525,139.378,-31.7894
291,-94.5934,100.537,-69.7921
292,-187.39,69.8928,-100.0
293,-95.8498,175.536,-100.0
294,-143.047,64.1775,-77.0678
295,-106.988,168.978,-59.2631
296,-126.425,96.6825,-42.8359
297,-84.2452,106.78,-100.0
298,-138.712,61.664,-89.0146
299,-147.759,68.8469,-64.9254
300,-121.625,65.7852,-100.0
301,-105.637,105.748,-50.6073
302,-163.588,85.111,-46.137
303,-166.067,62.9382,-81.8686
304,-81.207,148.719,-100.0
305,-106.997,157.315,-49.0929
306,-131.717,107.848,-34.2056
307,-84.657,145.724,-75.2087
308,-146.219,58.6231,-100.0
309,-132.292,60.927,-100.0
310,-85.4915,115.552,-73.2196
311,-169.031,69.2602,-65.302
312,-78.427,137.608,-100.0
313,-84.4846,106.123,-83.3808
314,-187.365,69.9601,-82.0885
315,-98.0678,81.6743,-89.4159
316,-155.096,61.5259,-76.972
317,-150.05,96.4634,-35.2385
318,-171.991,102.074,-35.8154
319,-181.74,83.4897,-53.1057
320,-181.585,64.0596,-100.0
321,-98.9803,89.2768,-69.2643
322,-92.5136,166.811,-73.5039
323,-118.404,82.0898,-55.6099
324,-160.371,57.7152,-100.0
325,-118.098,74.6011,-65.5203
326,-89.5981,171.939,-100.0
327,-160.462,58.3453,-88.5231
328,-177.301,65.6783,-76.6191
329,-188.37,67.2059,-93.4597
330,-103.161,145.564,-45.1894
331,-151.215,78.7032,-46.8931
332,-106.022,72.5239,-90.004
333,-94.3094,176.368,-83.5467
334,-78.9673,112.76,-93.245
335,-84.2313,164.291,-100.0
336,-112.939,151.536,-39.1264
337,-81.0588,113.712,-80.2794
338,-113.425,127.41,-35.4455
339,-136.03,65.2228,-67.5497
340,-92.6971,177.221,-92.8055
341,-92.6176,84.1871,-100.0
342,-76.548,123.572,-100.0
343,-156.278,68.8421,-58.2209
344,-91.7129,136.891,-54.5403
345,-126.732,84.3755,-45.964
346,-122.703,157.937,-35.5426
347,-87.7588,93.7379,-82.8215
348,-141.994,71.9826,-53.7762
349,-88.6203,116.512,-59.7191
350,-115.55,90.8152,-46.4709
351,-132.134,119.839,-27.438
352,-139.028,80.6196,-44.5842
353,-105.952,73.2786,-80.3788
354,-144.76,119.363,-25.2922
355,-115.563,140.576,-33.2434
356,-120.164,114.915,-32.1501
357,-185.713,74.2343,-62.1645
358,-126.007,59.5427,-89.4159
359,-85.6442,169.976,-92.389
360,-77.8334,121.971,-79.2629
361,-154.073,127.521,-23.1883
362,-84.4614,110.163,-67.7019
363,-94.2183,104.284,-55.5417
364,-126.621,69.735,-60.2563
365,-134.031,89.8212,-37.1776
366,-174.647,73.1847,-54.6685
367,-177.93,66.4124,-67.3993
368,-93.526,83.9306,-79.2457
369,-75.0016,131.78,-87.0941
370,-130.44,127.762,-25.6416
371,-123.634,64.3784,-71.0641
372,-98.3146,73.8022,-100.0
373,-84.5723,156.97,-68.7621
374,-189.765,63.1599,-100.0
375,-89.5234,178.845,-100.0
376,-99.9645,120.658,-41.9456
377,-169.82,55.222,-94.031
378,-118.278,100.884,-35.5692
379,-90.8748,124.766,-50.1864
380,-161.757,117.62,-23.2782
381,-141.551,125.137,-22.1158
382,-151.578,106.17,-25.2819
383,-159.487,75.8584,-44.2905
384,-184.365,61.2919,-84.1236
385,-145.839,136.862,-21.5428
386,-83.5116,128.251,-59.4341
387,-140.335,108.409,-25.0233
388,-104.606,113.369,-38.3779
389,-81.564,93.0266,-100.0
390,-106.141,78.8304,-60.6668
391,-161.915,92.8887,-31.0791
392,-136.919,145.785,-23.148
393,-77.3111,131.367,-70.3526
394,-96.057,164.39,-52.9904
395,-105.621,169.836,-47.2487
396,-110.746,69.2165,-69.5536
397,-72.6134,119.572,-90.736
398,-178.026,91.1413,-36.0238
399,-82.5485,167.598,-80.9152
400,-82.5391,97.9301,-75.1884
401,-149.623,84.4808,-34.6415
402,-128.89,113.439,-24.8878
403,-113.297,63.5529,-78.2556
404,-83.1031,173.697,-100.0
405,-123.179,136.608,-24.8377
406,-110.415,62.5813,-88.3149
407,-127.391,98.3964,-30.1482
408,-149.874,51.6144,-85.6109
409,-130.1,72.1506,-48.6263
