epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,35.2721,1.51686,9.47731,0.717,1.79487,0.03701,22.256,0.98905,1,0.99243,0.60817,0,0,0,0,1.5425,9.07267,0.72889,0.38976,0.0576,0,0.00988636,0.00329545,0.00988636,0.00329545,0.00988636,0.00329545,0.00988636,0.00329545
2,80.0613,0.74427,7.15092,0.76371,0.3376,0.01746,11.4572,0.9334,0.995,0.99299,0.86992,0,0,0,0,0.64448,6.35568,0.84201,0.27134,0.02286,0,0.0198667,0.00662223,0.0198667,0.00662223,0.0198667,0.00662223,0.0198667,0.00662223
3,125.912,0.75385,5.99091,0.74891,0.32363,0.01833,8.5965,0.95212,0.99426,0.99263,0.91978,0.19654,0.22,0.04787,0.00482,0.3979,4.81008,0.67854,0.27595,0.01412,0,0.0298272,0.0099424,0.0298272,0.0099424,0.0298272,0.0099424,0.0298272,0.0099424
4,163.405,0.75768,4.83687,0.68655,0.33768,0.01723,6.55562,0.93597,0.995,0.98795,0.79773,0.9002,0.965,0.9579,0.46521,0.82855,1.85213,0.53435,0.41387,0.02935,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,199.111,0.77482,4.22428,0.66156,0.38853,0.01788,5.71929,0.99948,1,0.995,0.84236,0.16254,0.23,0.03683,0.00584,0.727,6.77873,0.34333,0.18719,0.02744,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,234.098,0.62974,3.61511,0.62403,0.34704,0.01453,4.9481,0.97926,1,0.9947,0.76145,0.93501,0.955,0.93181,0.50135,1.0889,1.84617,0.36011,0.28589,0.04405,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,268.834,0.63804,3.1961,0.59348,0.33142,0.01455,4.38887,0.98006,0.98299,0.99445,0.93344,0.45836,0.54,0.2756,0.036,0.37656,4.45144,0.32656,0.24509,0.01414,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,304.786,0.59397,2.70623,0.58493,0.31249,0.0134,3.52634,1,0.99984,0.995,0.89307,0.98453,0.985,0.98116,0.6362,0.55802,1.26136,0.33518,0.15714,0.01983,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,342.568,0.57555,2.62917,0.5572,0.31195,0.01316,3.40818,0.99972,1,0.995,0.90678,0.96973,0.97,0.95757,0.31795,0.42784,2.54172,0.31234,0.11865,0.01554,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,378.807,0.58187,2.34041,0.55371,0.29866,0.01293,3.14443,0.99973,1,0.995,0.85228,0.98973,0.99,0.98126,0.60235,0.65663,1.33627,0.31705,0.16899,0.02647,0,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,415.535,0.53632,2.1602,0.54097,0.25723,0.01206,2.9013,1,0.99736,0.995,0.86325,0.98496,0.98236,0.9799,0.73565,0.67173,0.88661,0.30006,0.19502,0.02254,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,451,0.51603,2.21467,0.53881,0.24963,0.01154,2.79491,0.99973,1,0.995,0.95569,0.99473,0.995,0.99265,0.75734,0.32762,0.76912,0.31386,0.09727,0.0123,0,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,486.172,0.50379,2.00393,0.52238,0.23805,0.01136,2.49139,1,1,0.995,0.90391,1,1,0.995,0.7884,0.42917,0.75086,0.34678,0.11819,0.01695,0,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,520.777,0.49012,1.84739,0.52628,0.23344,0.01082,2.35191,0.99971,1,0.995,0.90103,0.99971,1,0.995,0.75765,0.45047,0.80355,0.3409,0.12568,0.01479,0,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,555.06,0.50578,1.86493,0.50282,0.25813,0.01116,2.27207,0.95799,1,0.99176,0.88555,0.9532,0.995,0.98831,0.7213,0.56624,0.9096,0.35075,0.29832,0.01817,0,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,589.085,0.50049,1.76339,0.51822,0.26056,0.01069,2.21137,0.99971,0.99,0.99485,0.94933,0.99466,0.985,0.99273,0.80923,0.33095,0.64908,0.33367,0.14603,0.01174,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,625.635,0.4828,1.64755,0.49523,0.23753,0.01036,2.0127,0.96553,0.98036,0.99363,0.87876,0.96553,0.98036,0.99363,0.81681,0.64099,0.67068,0.33316,0.2756,0.02454,0,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,660.953,0.44405,1.4714,0.49817,0.24122,0.00997,1.94618,0.98183,0.985,0.99415,0.89525,0.98183,0.985,0.99415,0.87825,0.52736,0.46354,0.33612,0.19048,0.01576,0,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,695.479,0.42079,1.60516,0.48023,0.23124,0.00892,1.66448,0.99957,1,0.995,0.89689,0.99957,1,0.995,0.86373,0.46244,0.51202,0.30954,0.13449,0.01825,0,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,729.675,0.41821,1.39134,0.48318,0.23034,0.00921,1.48754,0.99973,1,0.995,0.8954,0.99973,1,0.995,0.87257,0.54974,0.50426,0.29896,0.14593,0.02046,0,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,763.759,0.46481,1.33064,0.47256,0.22931,0.01016,1.33521,1,0.99932,0.995,0.98444,1,0.99932,0.995,0.8674,0.28301,0.49731,0.29042,0.10477,0.00945,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,797.855,0.42292,1.25104,0.45689,0.21047,0.00916,1.25962,0.99872,0.995,0.995,0.91905,0.99872,0.995,0.995,0.89426,0.40616,0.39126,0.30765,0.13075,0.0138,0,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,832.766,0.41497,1.24781,0.44495,0.20472,0.00888,1.06915,1,0.99376,0.995,0.89874,1,0.99376,0.995,0.83074,0.51323,0.58719,0.34432,0.16959,0.018,0,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,868.487,0.40063,1.2685,0.44365,0.19699,0.00858,1.08084,0.99865,1,0.995,0.94371,0.99865,1,0.995,0.86813,0.35985,0.51221,0.31696,0.11473,0.01281,0,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
