frame;kp_00;kp_01;kp_02;kp_03;kp_04;kp_05;kp_06;kp_07;kp_08;kp_09;kp_10;kp_11;kp_12;kp_13;kp_14;kp_15;kp_16;kp_17;kp_18;kp_19;kp_20;kp_21;kp_22;kp_23
1;-0.0941102364155919;-0.5059194779408036;-0.35501858081510723;-0.365831873994223;-0.3694427840953437;-0.27420746840766924;-0.6788296255045447;-0.5799550712120227;-0.7948350769031438;-0.9876311023938161;-1.1361676728151522;-1.3180055069478251;-1.4898259016699278;-1.8517478589362635;-2.303639483073912;-2.538735668607393;-0.22560324460486667;-0.41833682227134733;-0.7139380777740466;-0.9000330380257382;-1.2256747811821482;-1.3298880499373926;-1.0987686299504345;-1.1744393601155023
2;0.04346934311729719;-0.32780721978008703;-0.06070125680016369;0.08969413237931043;0.2960300173182913;0.5578037032962819;0.35842026944178174;0.6836066452666897;-0.8749714853200776;-0.9852141446850845;-1.050960349246204;-1.1141471578656266;-1.0968562022933765;-1.0921189871491932;-1.3672225850211466;-1.7527549764281736;-0.2561225778025942;-0.4750489092175137;-0.8176008297582101;-1.1694671983379608;-1.604525852466317;-1.9139837342550277;-1.990240733049501;-2.073466296704547
3;0.17701245862705445;0.09572803947295751;0.413749421257635;0.7548472531788386;1.1805952126764183;1.5143539320864843;1.5239351188896701;1.9122999043728617;-0.5834219785425299;-0.47752677747403;-0.3870254655497377;-0.3489072385461559;-0.17680756868536265;0.04796836061515249;-0.16066887779430747;-0.6756092234458142;-0.5923351462763182;-0.8133126428196754;-1.090261102755403;-1.4724245861711944;-1.8163480952218714;-2.108649234751501;-2.292228642686416;-2.244774533942034
4;-0.19570913697224995;0.07796249524233344;0.38288126279603085;0.9269713952350555;1.5938993158988057;1.9538386349088632;2.1907752493464985;2.553307278847364;-0.4055467434953931;-0.029454021293812534;0.3389488765485307;0.5094307105865328;0.7691846201350728;1.0340536904627837;0.8820124928776258;0.44764766076239093;-0.9104056338854923;-1.0611319793777387;-1.1328219980966414;-1.3530660282803655;-1.4324234119873243;-1.5856104409809735;-1.8718655370594741;-1.7795603976304133
5;-0.14611137698993204;0.1649102798968645;0.4210632631756499;0.9470402774959308;1.6062249536272493;1.935904690311189;2.31179670300233;2.681935709402789;-0.3744173428861628;0.12945531290856477;0.6092391109924381;0.86675014176638;1.1880368121534497;1.5513864497705823;1.663351874093349;1.5960937637044315;-1.0379986527544276;-1.0103298456064487;-0.8217343766511493;-0.7553619847752908;-0.5440344387566667;-0.5415156149223166;-0.9631364974192373;-0.9273661683019346
6;-0.366397937848486;0.052544475227783695;0.1992572767928044;0.5927516635343435;1.0861254485962426;1.2280628090081647;1.735514660306647;1.988787910236068;-0.21966083386595397;0.2915785464693335;0.8770550105823446;1.2711528769826734;1.6346614116497953;2.0669102194162132;2.485665964184757;2.7628901834795734;-0.580311368455223;-0.4049643201284934;-0.03853854950781662;0.18818066475266176;0.599871630744848;0.644620394845474;0.02380085079672787;-0.07804590162679652
7;-0.35313319020890716;-0.057606903078725936;-0.04467380275473225;0.06351166716341967;0.25774346394269965;0.22190765144358848;0.7423894244277933;0.8646856908290425;-0.04163357215699131;0.2783970454491764;0.7363008818048252;1.124807548614807;1.4467519991612001;1.8961210549534804;2.5208058463441994;3.093001782395123;0.09845928804892226;0.3879847114547602;0.7883950041098315;1.1319239064312885;1.586550197211636;1.7293993386486497;1.2784803589121971;1.1840093074882754
8;-0.268145867591315;-0.25022741382952823;-0.3870396459888114;-0.6075606628517567;-0.7241851427670977;-0.9081958441840976;-0.49480813394914225;-0.527835799162611;0.11425726398429809;0.17669526267276933;0.41648957642375845;0.693547917726281;0.8843189313705636;1.1919982463732977;1.749055838472037;2.3697380348524852;0.6680685498608605;0.9707751433839042;1.2719213220585137;1.6336404538671647;1.9885474012135391;2.2195334962483892;2.164887296511491;2.1805012273731195
9;-0.13173955236608123;-0.3225226141350447;-0.5886562594814803;-1.087820220613984;-1.5243610268963776;-1.8632153918321646;-1.7100908364238798;-1.900409246161078;0.3072903590329335;0.1514707199007384;0.12877616792462343;0.20282054226180915;0.18619167655083102;0.21631706051299193;0.5744527015257919;1.1624401807225198;0.865263665051879;1.1425934226684014;1.3554103823431976;1.7243418099024768;1.982075154044666;2.28117055189778;2.589031260398242;2.6732665097729345
10;0.263141081090219;-0.1964194202927478;-0.49255244168945317;-1.185603871736868;-1.9095728644758871;-2.2863945344803294;-2.463548541589181;-2.6694949799825873;0.3311926577767386;-0.022524232430863662;-0.339313601872981;-0.5125400638247615;-0.7296884188213283;-0.9227196022469618;-0.7504728533169277;-0.2525886727452653;0.7438702689763645;0.9427426378393129;1.0319294257743918;1.342640940893496;1.4433916852220534;1.7251605484246317;2.237914281300477;2.353415397665084
11;0.59878573864875;0.17086523406442497;-0.08033135601094772;-0.7783320519321811;-1.6280443615081563;-2.0004926751975476;-2.5191751742997206;-2.7443056852585417;0.36825396292607054;-0.03551744321890424;-0.5952716931642612;-1.0038523583245305;-1.400365831176432;-1.8613060589128771;-1.9626562261713645;-1.6134648955861053;0.1658125361973278;0.252717407048188;0.24823725451500941;0.4935090534685788;0.5029256230014966;0.7793782005024413;1.4203074885556017;1.5556906596208764
12;0.8743050520100244;0.5883842861245944;0.48870095592599755;-0.003149692270175711;-0.718668586872253;-0.9999284607284021;-1.7283843656498732;-1.925085097503603;0.3866575040234962;0.007535749497864173;-0.6518058069730137;-1.184701893448315;-1.6370622459412836;-2.2631949193995373;-2.684475549294036;-2.6356380675596895;-0.3656723839081777;-0.45642179480843587;-0.6242961967826158;-0.5966336445055205;-0.7395534460590522;-0.5661121387302533;0.049849929060545556;0.18342051883137492
13;1.0895422371931514;0.9383399228079209;0.9583077265073223;0.6439006140221456;0.07532834675880415;-0.15955255920824482;-0.9559888322121379;-1.1345844831190932;0.46320892577918316;0.12988867005170038;-0.5086996117301259;-1.0262860185487086;-1.4315664180522603;-2.0452765814137;-2.6249344152677105;-2.8895011756395412;-0.5727489348386556;-0.7999623414058351;-1.0946151240874415;-1.334105240023284;-1.6348402079342435;-1.696365537782953;-1.3837665419829805;-1.3506829820735908
14;0.9335834073681063;0.9768172734585363;1.1090714169283462;1.0892492648306664;0.87971175069553;0.7914197854570499;0.18486295593049035;0.11483906486859406;0.5713636850617673;0.38421375496688276;-0.05636927795299537;-0.44206171481725487;-0.7034791551577864;-1.1540819004357825;-1.7688943879478525;-2.311092000060828;-0.5096689374967146;-0.8139126387538446;-1.1702722921937159;-1.6165069559996348;-2.0212464992069603;-2.2935035872959597;-2.3209919933396894;-2.3744555843064017
15;0.1488408770340612;0.552701289039081;0.7577868698303329;1.0746124849032972;1.3296250370269103;1.41239972630205;1.1881051670860783;1.2381110114230613;0.6035516648253149;0.6176748578331813;0.5436323844606493;0.39986873520185673;0.32933889704594094;0.11755880378300458;-0.4474429237373249;-1.243810331586404;-0.12023245780964534;-0.480381403155353;-0.8727589817611754;-1.4848604494553912;-1.945984858395345;-2.3767423602885995;-2.654662608664077;-2.7261891060238512
16;-0.7143745339602527;-0.058268067198761736;0.1429771706709147;0.6620765355928886;1.2590809894288968;1.4606357075529575;1.69295033709797;1.8538978816317524;0.48695283479708495;0.72900747271358;1.0709900156320875;1.2148502503083976;1.329843652537021;1.3534300368504744;0.9665459571215854;0.1338213260021397;0.08154809842856692;-0.24345829099769484;-0.5270206660876935;-1.1284749880878424;-1.472327390871129;-1.9480253699819174;-2.456237076707955;-2.540323635943164
17;-1.246018222874885;-0.6634719754708573;-0.5039160678470603;0.002552868344951567;0.7166810782903172;0.9700185468120675;1.5554988473280977;1.7820978303672175;0.12912093760557566;0.45770225768134826;1.1126942664117923;1.5165725400686692;1.7822501541520634;2.0002146795788955;1.8253348425537774;1.1471816654341411;0.4493889042090158;0.20382907941118913;0.02556187592076902;-0.48277648487480274;-0.6985577617443329;-1.1220074883669398;-1.6524512364518402;-1.688479341632102
18;-1.3350194800074682;-0.9584598740153775;-0.8045176322396608;-0.39421487363889746;0.2345894468879125;0.47504182204115414;1.1682667806659672;1.4588994455782882;-0.48742665266177193;-0.17744991167885224;0.5313007760472694;1.0523871320468918;1.4358429530538281;1.909725773695482;2.1490126587320586;1.9953556185322392;0.6386514589836886;0.6162669708076025;0.6158682396498988;0.4321579987450686;0.4102806259490749;0.2026128514819972;-0.21287172851081393;-0.21574373847709793
19;-0.9289907144669348;-0.900257845219866;-0.683783036594323;-0.32932211772326037;0.1871801590618212;0.436304335019388;0.9201763223073619;1.2811806388971538;-1.1981027423526105;-0.9196028735260473;-0.3121678612174594;0.16563067289490313;0.5570719034078024;1.1447662157158296;1.7299895277767117;2.181495980893639;0.6624432977479023;0.904061679449692;1.0973027760813705;1.3143247343099667;1.4590102325505956;1.465476528128867;1.1035017743093065;0.9575612175647376
20;-0.1805412278356589;-0.5457161309572021;-0.3194882682984632;-0.10493600204905353;0.23883267558365734;0.41957206171014216;0.6441788872099171;0.9426246816143282;-1.4721679354367818;-1.217231279925248;-0.7148065440942679;-0.3026561137966242;0.05151449966742885;0.5786296799575128;1.2413417078383315;2.0218804117602107;0.7209067407355831;1.1069043020919376;1.4009207777188324;1.8759635292468602;2.1325629822275487;2.331789148084772;2.168074493681511;1.9999600977423284
21;0.30651398127211676;-0.1524218572112644;0.06763711577700557;0.20445665340359792;0.39809043360834223;0.4826235037329945;0.4554486586213403;0.6704301309171874;-1.5269990564335714;-1.2652668270163954;-0.9331921786011419;-0.6507387797125304;-0.36574270619609095;0.036737617669589655;0.6563058779371477;1.5852231060794706;0.20920775270802183;0.6421482346666273;0.9880794560309786;1.6373158454403607;2.012104863006012;2.4129955469124194;2.5214053501564324;2.4891636573688865
22;0.6300986481917072;0.2694699712900724;0.41612402581781127;0.4588318135135249;0.49806289974831947;0.4881711997977635;0.310731201756226;0.415469634784579;-1.029441401033556;-0.8120009649857085;-0.6888919129435641;-0.6047086094501056;-0.4607951736350679;-0.2906045452595917;0.10672052800536778;0.9462940842782807;-0.34553775167493317;0.011838033228297403;0.3301610209885438;0.98773531904231;1.4186143734103043;1.973444965275496;2.388316385751594;2.581916632519532
23;0.7237556561519453;0.554783469542694;0.5225254893424769;0.3498674517167255;0.1664294808535302;-0.0038711160719837544;-0.1832144609818358;-0.3015141775089326;-0.20018136065420533;-0.03785615592612698;-0.06149616117942211;-0.12036429114361999;-0.1299554927779631;-0.2603259572453825;-0.2520622382465465;0.21055512314685898;-0.8928090702084875;-0.6983104542708498;-0.4537933167561726;0.012533214299870882;0.4212705056909844;0.9831432451932375;1.5834639371355341;2.0052765247098066
